username,role,firstname,lastname,email,phone1,is_admin,is_deleted,access_level,locale,reputation
system,1,System,User,webmaster@nowhere.com,000-000-0000,TRUE,FALSE,99,en_US,0
herve,1,Herve,L.,herve.l@cme.com,999-555-1234,FALSE,FALSE,99,fr_FR,20
mark,1,Mark,A.,admin3@cme.com,999-555-1001,FALSE,FALSE,10,en_US,20
byron,1,Byron,S.,byron.s@cme.com,999-555-1002,FALSE,FALSE,50,en_US,1
adam,1,Adam,Y.,adam.y@cme.com,999-555-1003,FALSE,FALSE,50,en_US,1
francisco,3,Francisco,Murretti,fmurretti@gosolar.com,+31 1-22-33-44-55,FALSE,FALSE,20,it_IT,1
emily,3,Emily,Mortimer,emily.mortimer@jappie.com,731-111-3333,FALSE,FALSE,50,en_US,1
charlie,3,Charlie,Sheen,charlie.sheen@cbs.com,234-567-4444,FALSE,FALSE,10,en_US,1
alex,3,Alex,L.,alex.l@gosolar.com,213-333-0000,FALSE,FALSE,50,en_US,1
bob,2,Bob,Miller,bob.miller@proconsulting.com,611-777-2211,FALSE,FALSE,10,en_US,1
sameer,2,Sameer,Gupta,sameer.gupta@proconsulting.com,611-777-2288,FALSE,FALSE,10,en_US,1
markz,3,Mark,Zuckerberg,markz@facebook.com,000-000-0000,TRUE,TRUE,50,en_US,1
